feature,level1,level2,level3
ko04139,Mitophagy - yeast,Transport and catabolism,Cellular Processes
ko04110,Cell cycle,Cell growth and death,Cellular Processes
ko04111,Cell cycle - yeast,Cell growth and death,Cellular Processes
ko04112,Cell cycle - Caulobacter,Cell growth and death,Cellular Processes
ko04113,Meiosis - yeast,Cell growth and death,Cellular Processes
ko04114,Oocyte meiosis,Cell growth and death,Cellular Processes
ko04210,Apoptosis,Cell growth and death,Cellular Processes
ko04214,Apoptosis - fly,Cell growth and death,Cellular Processes
ko04215,Apoptosis - multiple species,Cell growth and death,Cellular Processes
ko04216,Ferroptosis,Cell growth and death,Cellular Processes
ko04217,Necroptosis,Cell growth and death,Cellular Processes
ko04115,p53 signaling pathway,Cell growth and death,Cellular Processes
ko04218,Cellular senescence,Cell growth and death,Cellular Processes
ko04510,Focal adhesion,Cellular community - eukaryotes,Cellular Processes
ko04520,Adherens junction,Cellular community - eukaryotes,Cellular Processes
ko04530,Tight junction,Cellular community - eukaryotes,Cellular Processes
ko04540,Gap junction,Cellular community - eukaryotes,Cellular Processes
ko04550,Signaling pathways regulating pluripotency of stem cells,Cellular community - eukaryotes,Cellular Processes
ko02024,Quorum sensing,Cellular community - prokaryotes,Cellular Processes
ko05111,Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes,Cellular Processes
ko02025,Biofilm formation - Pseudomonas aeruginosa,Cellular community - prokaryotes,Cellular Processes
ko02026,Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
ko02030,Bacterial chemotaxis,Cell motility,Cellular Processes
ko02040,Flagellar assembly,Cell motility,Cellular Processes
ko04810,Regulation of actin cytoskeleton,Cell motility,Cellular Processes
ko04640,Hematopoietic cell lineage,Immune system,Organismal Systems
ko04610,Complement and coagulation cascades,Immune system,Organismal Systems
ko04611,Platelet activation,Immune system,Organismal Systems
ko04620,Toll-like receptor signaling pathway,Immune system,Organismal Systems
ko04624,Toll and Imd signaling pathway,Immune system,Organismal Systems
ko04621,NOD-like receptor signaling pathway,Immune system,Organismal Systems
ko04622,RIG-I-like receptor signaling pathway,Immune system,Organismal Systems
ko04623,Cytosolic DNA-sensing pathway,Immune system,Organismal Systems
ko04625,C-type lectin receptor signaling pathway,Immune system,Organismal Systems
ko04650,Natural killer cell mediated cytotoxicity,Immune system,Organismal Systems
ko04612,Antigen processing and presentation,Immune system,Organismal Systems
ko04660,T cell receptor signaling pathway,Immune system,Organismal Systems
ko04658,Th1 and Th2 cell differentiation,Immune system,Organismal Systems
ko04659,Th17 cell differentiation,Immune system,Organismal Systems
ko04657,IL-17 signaling pathway,Immune system,Organismal Systems
ko04662,B cell receptor signaling pathway,Immune system,Organismal Systems
ko04664,Fc epsilon RI signaling pathway,Immune system,Organismal Systems
ko04666,Fc gamma R-mediated phagocytosis,Immune system,Organismal Systems
ko04670,Leukocyte transendothelial migration,Immune system,Organismal Systems
ko04672,Intestinal immune network for IgA production,Immune system,Organismal Systems
ko04062,Chemokine signaling pathway,Immune system,Organismal Systems
ko04911,Insulin secretion,Endocrine system,Organismal Systems
ko04910,Insulin signaling pathway,Endocrine system,Organismal Systems
ko04922,Glucagon signaling pathway,Endocrine system,Organismal Systems
ko04923,Regulation of lipolysis in adipocytes,Endocrine system,Organismal Systems
ko04920,Adipocytokine signaling pathway,Endocrine system,Organismal Systems
ko03320,PPAR signaling pathway,Endocrine system,Organismal Systems
ko04929,GnRH secretion,Endocrine system,Organismal Systems
ko04912,GnRH signaling pathway,Endocrine system,Organismal Systems
ko04913,Ovarian steroidogenesis,Endocrine system,Organismal Systems
ko04915,Estrogen signaling pathway,Endocrine system,Organismal Systems
ko04914,Progesterone-mediated oocyte maturation,Endocrine system,Organismal Systems
ko04917,Prolactin signaling pathway,Endocrine system,Organismal Systems
ko04921,Oxytocin signaling pathway,Endocrine system,Organismal Systems
ko04926,Relaxin signaling pathway,Endocrine system,Organismal Systems
ko04935,"Growth hormone synthesis, secretion and action",Endocrine system,Organismal Systems
ko04918,Thyroid hormone synthesis,Endocrine system,Organismal Systems
ko04919,Thyroid hormone signaling pathway,Endocrine system,Organismal Systems
ko04928,"Parathyroid hormone synthesis, secretion and action",Endocrine system,Organismal Systems
ko04916,Melanogenesis,Endocrine system,Organismal Systems
ko04924,Renin secretion,Endocrine system,Organismal Systems
ko04614,Renin-angiotensin system,Endocrine system,Organismal Systems
ko04925,Aldosterone synthesis and secretion,Endocrine system,Organismal Systems
ko04927,Cortisol synthesis and secretion,Endocrine system,Organismal Systems
ko04260,Cardiac muscle contraction,Circulatory system,Organismal Systems
ko04261,Adrenergic signaling in cardiomyocytes,Circulatory system,Organismal Systems
ko04270,Vascular smooth muscle contraction,Circulatory system,Organismal Systems
ko04970,Salivary secretion,Digestive system,Organismal Systems
ko04971,Gastric acid secretion,Digestive system,Organismal Systems
ko04972,Pancreatic secretion,Digestive system,Organismal Systems
ko04976,Bile secretion,Digestive system,Organismal Systems
ko04973,Carbohydrate digestion and absorption,Digestive system,Organismal Systems
ko04974,Protein digestion and absorption,Digestive system,Organismal Systems
ko04975,Fat digestion and absorption,Digestive system,Organismal Systems
ko04979,Cholesterol metabolism,Digestive system,Organismal Systems
ko04977,Vitamin digestion and absorption,Digestive system,Organismal Systems
ko04978,Mineral absorption,Digestive system,Organismal Systems
ko04962,Vasopressin-regulated water reabsorption,Excretory system,Organismal Systems
ko04960,Aldosterone-regulated sodium reabsorption,Excretory system,Organismal Systems
ko04961,Endocrine and other factor-regulated calcium reabsorption,Excretory system,Organismal Systems
ko04964,Proximal tubule bicarbonate reclamation,Excretory system,Organismal Systems
ko04966,Collecting duct acid secretion,Excretory system,Organismal Systems
ko04724,Glutamatergic synapse,Nervous system,Organismal Systems
ko04727,GABAergic synapse,Nervous system,Organismal Systems
ko04725,Cholinergic synapse,Nervous system,Organismal Systems
ko04728,Dopaminergic synapse,Nervous system,Organismal Systems
ko04726,Serotonergic synapse,Nervous system,Organismal Systems
ko04720,Long-term potentiation,Nervous system,Organismal Systems
ko04730,Long-term depression,Nervous system,Organismal Systems
ko04723,Retrograde endocannabinoid signaling,Nervous system,Organismal Systems
ko04721,Synaptic vesicle cycle,Nervous system,Organismal Systems
ko04722,Neurotrophin signaling pathway,Nervous system,Organismal Systems
ko04744,Phototransduction,Sensory system,Organismal Systems
ko04745,Phototransduction - fly,Sensory system,Organismal Systems
ko04740,Olfactory transduction,Sensory system,Organismal Systems
ko04742,Taste transduction,Sensory system,Organismal Systems
ko04750,Inflammatory mediator regulation of TRP channels,Sensory system,Organismal Systems
ko04320,Dorso-ventral axis formation,Development and regeneration,Organismal Systems
ko04360,Axon guidance,Development and regeneration,Organismal Systems
ko04361,Axon regeneration,Development and regeneration,Organismal Systems
ko04380,Osteoclast differentiation,Development and regeneration,Organismal Systems
ko04211,Longevity regulating pathway,Aging,Organismal Systems
ko04212,Longevity regulating pathway - worm,Aging,Organismal Systems
ko04213,Longevity regulating pathway - multiple species,Aging,Organismal Systems
ko04710,Circadian rhythm,Environmental adaptation,Organismal Systems
ko04713,Circadian entrainment,Environmental adaptation,Organismal Systems
ko04711,Circadian rhythm - fly,Environmental adaptation,Organismal Systems
ko04712,Circadian rhythm - plant,Environmental adaptation,Organismal Systems
ko04714,Thermogenesis,Environmental adaptation,Organismal Systems
ko04626,Plant-pathogen interaction,Environmental adaptation,Organismal Systems
ko05200,Pathways in cancer,Cancer: overview,Human Diseases
ko05202,Transcriptional misregulation in cancer,Cancer: overview,Human Diseases
ko05206,MicroRNAs in cancer,Cancer: overview,Human Diseases
ko05205,Proteoglycans in cancer,Cancer: overview,Human Diseases
ko05204,Chemical carcinogenesis,Cancer: overview,Human Diseases
ko05203,Viral carcinogenesis,Cancer: overview,Human Diseases
ko05230,Central carbon metabolism in cancer,Cancer: overview,Human Diseases
ko05231,Choline metabolism in cancer,Cancer: overview,Human Diseases
ko05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,Cancer: overview,Human Diseases
ko05210,Colorectal cancer,Cancer: specific types,Human Diseases
ko05212,Pancreatic cancer,Cancer: specific types,Human Diseases
ko05225,Hepatocellular carcinoma,Cancer: specific types,Human Diseases
ko05226,Gastric cancer,Cancer: specific types,Human Diseases
ko05214,Glioma,Cancer: specific types,Human Diseases
ko05216,Thyroid cancer,Cancer: specific types,Human Diseases
ko05221,Acute myeloid leukemia,Cancer: specific types,Human Diseases
ko05220,Chronic myeloid leukemia,Cancer: specific types,Human Diseases
ko05217,Basal cell carcinoma,Cancer: specific types,Human Diseases
ko05218,Melanoma,Cancer: specific types,Human Diseases
ko05211,Renal cell carcinoma,Cancer: specific types,Human Diseases
ko05219,Bladder cancer,Cancer: specific types,Human Diseases
ko05215,Prostate cancer,Cancer: specific types,Human Diseases
ko05213,Endometrial cancer,Cancer: specific types,Human Diseases
ko05224,Breast cancer,Cancer: specific types,Human Diseases
ko05222,Small cell lung cancer,Cancer: specific types,Human Diseases
ko05223,Non-small cell lung cancer,Cancer: specific types,Human Diseases
ko05310,Asthma,Immune disease,Human Diseases
ko05322,Systemic lupus erythematosus,Immune disease,Human Diseases
ko05323,Rheumatoid arthritis,Immune disease,Human Diseases
ko05320,Autoimmune thyroid disease,Immune disease,Human Diseases
ko05321,Inflammatory bowel disease (IBD),Immune disease,Human Diseases
ko05330,Allograft rejection,Immune disease,Human Diseases
ko05332,Graft-versus-host disease,Immune disease,Human Diseases
ko05340,Primary immunodeficiency,Immune disease,Human Diseases
ko05010,Alzheimer disease,Neurodegenerative disease,Human Diseases
ko05012,Parkinson disease,Neurodegenerative disease,Human Diseases
ko05014,Amyotrophic lateral sclerosis (ALS),Neurodegenerative disease,Human Diseases
ko05016,Huntington disease,Neurodegenerative disease,Human Diseases
ko05017,Spinocerebellar ataxia,Neurodegenerative disease,Human Diseases
ko05020,Prion diseases,Neurodegenerative disease,Human Diseases
ko05030,Cocaine addiction,Substance dependence,Human Diseases
ko05031,Amphetamine addiction,Substance dependence,Human Diseases
ko05032,Morphine addiction,Substance dependence,Human Diseases
ko05033,Nicotine addiction,Substance dependence,Human Diseases
ko05034,Alcoholism,Substance dependence,Human Diseases
ko05418,Fluid shear stress and atherosclerosis,Cardiovascular disease,Human Diseases
ko05410,Hypertrophic cardiomyopathy (HCM),Cardiovascular disease,Human Diseases
ko05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Cardiovascular disease,Human Diseases
ko05414,Dilated cardiomyopathy (DCM),Cardiovascular disease,Human Diseases
ko05416,Viral myocarditis,Cardiovascular disease,Human Diseases
ko04930,Type II diabetes mellitus,Endocrine and metabolic disease,Human Diseases
ko04940,Type I diabetes mellitus,Endocrine and metabolic disease,Human Diseases
ko04950,Maturity onset diabetes of the young,Endocrine and metabolic disease,Human Diseases
ko04932,Non-alcoholic fatty liver disease (NAFLD),Endocrine and metabolic disease,Human Diseases
ko04931,Insulin resistance,Endocrine and metabolic disease,Human Diseases
ko04933,AGE-RAGE signaling pathway in diabetic complications,Endocrine and metabolic disease,Human Diseases
ko04934,Cushing syndrome,Endocrine and metabolic disease,Human Diseases
ko05110,Vibrio cholerae infection,Infectious disease: bacterial,Human Diseases
ko05120,Epithelial cell signaling in Helicobacter pylori infection,Infectious disease: bacterial,Human Diseases
ko05130,Pathogenic Escherichia coli infection,Infectious disease: bacterial,Human Diseases
ko05132,Salmonella infection,Infectious disease: bacterial,Human Diseases
ko05131,Shigellosis,Infectious disease: bacterial,Human Diseases
ko05135,Yersinia infection,Infectious disease: bacterial,Human Diseases
ko05133,Pertussis,Infectious disease: bacterial,Human Diseases
ko05134,Legionellosis,Infectious disease: bacterial,Human Diseases
ko05150,Staphylococcus aureus infection,Infectious disease: bacterial,Human Diseases
ko05152,Tuberculosis,Infectious disease: bacterial,Human Diseases
ko05100,Bacterial invasion of epithelial cells,Infectious disease: bacterial,Human Diseases
ko05166,Human T-cell leukemia virus 1 infection,Infectious disease: viral,Human Diseases
ko05170,Human immunodeficiency virus 1 infection,Infectious disease: viral,Human Diseases
ko05162,Measles,Infectious disease: viral,Human Diseases
ko05164,Influenza A,Infectious disease: viral,Human Diseases
ko05161,Hepatitis B,Infectious disease: viral,Human Diseases
ko05160,Hepatitis C,Infectious disease: viral,Human Diseases
ko05168,Herpes simplex virus 1 infection,Infectious disease: viral,Human Diseases
ko05163,Human cytomegalovirus infection,Infectious disease: viral,Human Diseases
ko05167,Kaposi sarcoma-associated herpesvirus infection,Infectious disease: viral,Human Diseases
ko05169,Epstein-Barr virus infection,Infectious disease: viral,Human Diseases
ko05165,Human papillomavirus infection,Infectious disease: viral,Human Diseases
ko05146,Amoebiasis,Infectious disease: parasitic,Human Diseases
ko05144,Malaria,Infectious disease: parasitic,Human Diseases
ko05145,Toxoplasmosis,Infectious disease: parasitic,Human Diseases
ko05140,Leishmaniasis,Infectious disease: parasitic,Human Diseases
ko05142,Chagas disease (American trypanosomiasis),Infectious disease: parasitic,Human Diseases
ko05143,African trypanosomiasis,Infectious disease: parasitic,Human Diseases
ko01501,beta-Lactam resistance,Drug resistance: antimicrobial,Human Diseases
ko01502,Vancomycin resistance,Drug resistance: antimicrobial,Human Diseases
ko01503,Cationic antimicrobial peptide (CAMP) resistance,Drug resistance: antimicrobial,Human Diseases
ko01521,EGFR tyrosine kinase inhibitor resistance,Drug resistance: antineoplastic,Human Diseases
ko01524,Platinum drug resistance,Drug resistance: antineoplastic,Human Diseases
ko01523,Antifolate resistance,Drug resistance: antineoplastic,Human Diseases
ko01522,Endocrine resistance,Drug resistance: antineoplastic,Human Diseases
ko07011,Penicillins,Chronology: Antiinfectives,Drug Development
ko07012,Cephalosporins - parenteral agents,Chronology: Antiinfectives,Drug Development
ko07013,Cephalosporins - oral agents,Chronology: Antiinfectives,Drug Development
ko07021,Aminoglycosides,Chronology: Antiinfectives,Drug Development
ko07019,Tetracyclines,Chronology: Antiinfectives,Drug Development
ko07020,Macrolides and ketolides,Chronology: Antiinfectives,Drug Development
ko07014,Quinolones,Chronology: Antiinfectives,Drug Development
ko07023,Rifamycins,Chronology: Antiinfectives,Drug Development
ko07026,Antifungal agents,Chronology: Antiinfectives,Drug Development
ko07044,Antiviral agents,Chronology: Antiinfectives,Drug Development
ko07053,Anti-HIV agents,Chronology: Antiinfectives,Drug Development
ko07040,Antineoplastics - alkylating agents,Chronology: Antineoplastics,Drug Development
ko07041,Antineoplastics - antimetabolic agents,Chronology: Antineoplastics,Drug Development
ko07042,Antineoplastics - agents from natural products,Chronology: Antineoplastics,Drug Development
ko07043,Antineoplastics - hormones,Chronology: Antineoplastics,Drug Development
ko07045,Antineoplastics - protein kinases inhibitors,Chronology: Antineoplastics,Drug Development
ko07032,Hypnotics,Chronology: Nervous system agents,Drug Development
ko07030,Anxiolytics,Chronology: Nervous system agents,Drug Development
ko07033,Anticonvulsants,Chronology: Nervous system agents,Drug Development
ko07015,Local analgesics,Chronology: Nervous system agents,Drug Development
ko07039,Opioid analgesics,Chronology: Nervous system agents,Drug Development
ko07028,Antipsychotics,Chronology: Nervous system agents,Drug Development
ko07029,Antipsychotics - phenothiazines,Chronology: Nervous system agents,Drug Development
ko07031,Antipsychotics - butyrophenones,Chronology: Nervous system agents,Drug Development
ko07027,Antidepressants,Chronology: Nervous system agents,Drug Development
ko07056,Agents for Alzheimer-type dementia,Chronology: Nervous system agents,Drug Development
ko07057,Antiparkinsonian agents,Chronology: Nervous system agents,Drug Development
ko07055,Sulfonamide derivatives - overview,Chronology: Other drugs,Drug Development
ko07016,Sulfonamide derivatives - sulfa drugs,Chronology: Other drugs,Drug Development
ko07017,Sulfonamide derivatives - diuretics,Chronology: Other drugs,Drug Development
ko07018,Sulfonamide derivatives - hypoglycemic agents,Chronology: Other drugs,Drug Development
ko07037,Antiarrhythmic drugs,Chronology: Other drugs,Drug Development
ko07038,Antiulcer drugs,Chronology: Other drugs,Drug Development
ko07046,Immunosuppressive agents,Chronology: Other drugs,Drug Development
ko07047,Osteoporosis drugs,Chronology: Other drugs,Drug Development
ko07048,Antimigraines,Chronology: Other drugs,Drug Development
ko07049,Antithrombosis agents,Chronology: Other drugs,Drug Development
ko07050,Antirheumatics - DMARDs and biological agents,Chronology: Other drugs,Drug Development
ko07051,Antidiabetics,Chronology: Other drugs,Drug Development
ko07052,Antidyslipidemic agents,Chronology: Other drugs,Drug Development
ko07054,Antiglaucoma agents,Chronology: Other drugs,Drug Development
ko07220,Cholinergic and anticholinergic drugs,Target-based classification: G protein-coupled receptors,Drug Development
ko07215,alpha-Adrenergic receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07214,beta-Adrenergic receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07213,Dopamine receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07212,Histamine H1 receptor antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07227,Histamine H2/H3 receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07211,Serotonin receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07228,Eicosanoid receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07224,Opioid receptor agonists/antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07229,Angiotensin receptor and endothelin receptor antagonists,Target-based classification: G protein-coupled receptors,Drug Development
ko07225,Glucocorticoid and mineralocorticoid receptor agonists/antagonists,Target-based classification: Nuclear receptors,Drug Development
ko07226,"Progesterone, androgen and estrogen receptor agonists/antagonists",Target-based classification: Nuclear receptors,Drug Development
ko07223,Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists,Target-based classification: Nuclear receptors,Drug Development
ko07222,Peroxisome proliferator-activated receptor (PPAR) agonists,Target-based classification: Nuclear receptors,Drug Development
ko07221,Nicotinic cholinergic receptor antagonists,Target-based classification: Ion channels,Drug Development
ko07230,GABA-A receptor agonists/antagonists,Target-based classification: Ion channels,Drug Development
ko07036,Calcium channel blocking drugs,Target-based classification: Ion channels,Drug Development
ko07231,Sodium channel blocking drugs,Target-based classification: Ion channels,Drug Development
ko07232,Potassium channel blocking and opening drugs,Target-based classification: Ion channels,Drug Development
ko07235,N-Metyl-D-aspartic acid receptor antagonists,Target-based classification: Ion channels,Drug Development
ko07233,Ion transporter inhibitors,Target-based classification: Transporters,Drug Development
ko07234,Neurotransmitter transporter inhibitors,Target-based classification: Transporters,Drug Development
ko07216,Catecholamine transferase inhibitors,Target-based classification: Enzymes,Drug Development
ko07219,Cyclooxygenase inhibitors,Target-based classification: Enzymes,Drug Development
ko07024,HMG-CoA reductase inhibitors,Target-based classification: Enzymes,Drug Development
ko07217,Renin-angiotensin system inhibitors,Target-based classification: Enzymes,Drug Development
ko07218,HIV protease inhibitors,Target-based classification: Enzymes,Drug Development
ko07025,Quinolines,Structure-based classification,Drug Development
ko07034,Eicosanoids,Structure-based classification,Drug Development
ko07035,Prostaglandins,Structure-based classification,Drug Development
ko07110,Benzoic acid family,Skeleton-based classification,Drug Development
ko07112,"1,2-Diphenyl substitution family",Skeleton-based classification,Drug Development
ko07114,Naphthalene family,Skeleton-based classification,Drug Development
ko07117,Benzodiazepine family,Skeleton-based classification,Drug Development
ko00312,beta-lactam resistance ,beta-lactam resistance ,beta-lactam resistance 
